policy_id,a_kwh,cancellation_cost_yuan,charge_bus_kwh,date,discharge_bus_kwh,effective_issue,emergency_cost_yuan,emergency_kwh,g0_kwh,grid_unused_kwh,grid_used_kwh,increase_cost_yuan,load_kw,physical_interval_end,physical_interval_start,price_yuan_per_kwh,pv_actual_kw,pv_curtailment_kwh,retained_cost_yuan,slot_id,soc_end_kwh,soc_roundoff_adjustment_kwh,soc_start_kwh,total_cost_yuan
P3_MAIN_MEAN_ROLLOUT_061218,1010.3728,0,0,2025-08-24,-0,2025-08-24T12:00:00,0,0,1010.3728,91.602716666666652,918.77008333333333,0,7209.9251000000004,2025-08-24T17:20:00,2025-08-24T17:10:00,0.97419999999999995,1697.3045999999999,0,984.30518175999998,104,10800,0,10800,984.30518175999998
P3_MAIN_MEAN_ROLLOUT_061218,1024.7776166666667,0,0,2025-08-24,-0,2025-08-24T12:00:00,0,0,1024.7776166666667,37.98720000000003,986.79041666666672,0,7323.8800000000001,2025-08-24T17:30:00,2025-08-24T17:20:00,0.98619999999999997,1403.1375,0,1010.6356855566667,105,10800,0,10800,1010.6356855566667
P3_MAIN_MEAN_ROLLOUT_061218,1144.8126625,0,0,2025-08-24,-0,2025-08-24T12:00:00,0,0,1144.8126625,85.195495833333553,1059.6171666666664,0,7501.0285999999996,2025-08-24T17:40:00,2025-08-24T17:30:00,0.97599999999999998,1143.3255999999999,0,1117.3371586000001,106,10800,0,10800,1117.3371586000001
P3_MAIN_MEAN_ROLLOUT_061218,1044.6432374999999,0,0,2025-08-24,-0,2025-08-24T12:00:00,0,0,1044.6432374999999,62.368487500000015,982.27474999999993,0,6771.2124999999996,2025-08-24T17:50:00,2025-08-24T17:40:00,1.0742,877.56399999999996,0,1122.1557657225001,107,10800,0,10800,1122.1557657225001
P3_MAIN_MEAN_ROLLOUT_061218,822.54017916666669,0,0,2025-08-24,16.153987499999857,2025-08-24T12:00:00,0,0,822.54017916666669,-0,822.54017916666669,0,5632.9899999999998,2025-08-24T18:00:00,2025-08-24T17:50:00,1.2313000000000001,600.82500000000005,0,1012.7937226079167,108,10782.051125,0,10800,1012.7937226079167
P3_MAIN_MEAN_ROLLOUT_061218,847.27950833333341,0,0,2025-08-24,36.103174999999965,2025-08-24T18:00:00,0,0,847.27950833333341,-0,847.27950833333341,0,5648.1875,2025-08-24T18:10:00,2025-08-24T18:00:00,1.2561,347.89139999999998,0,1064.2677904175,109,10741.936486111112,0,10782.051125,1064.2677904175
P3_MAIN_MEAN_ROLLOUT_061218,949.65070833333345,0,0.54702500000018972,2025-08-24,0,2025-08-24T18:00:00,0,0,949.65070833333345,-0,949.65070833333345,0,5828.1036999999997,2025-08-24T18:20:00,2025-08-24T18:10:00,1.2446999999999999,133.48159999999999,0,1182.0302366625001,110,10742.428808611112,0,10741.936486111112,1182.0302366625001
P3_MAIN_MEAN_ROLLOUT_061218,1007.782097222222,0,54.343763888888589,2025-08-24,0,2025-08-24T18:00:00,0,0,1007.782097222222,-0,1007.782097222222,0,5720.6300000000001,2025-08-24T18:30:00,2025-08-24T18:20:00,1.2544999999999999,0,0,1264.2626409652773,111,10791.338196111112,0,10742.428808611112,1264.2626409652773
P3_MAIN_MEAN_ROLLOUT_061218,1009.8148833333333,0,9.6242265432091596,2025-08-24,0,2025-08-24T18:00:00,0,0,1009.8148833333333,26.596673456790882,983.21820987654246,0,5841.5639000000001,2025-08-24T18:40:00,2025-08-24T18:30:00,1.2522,0,0,1264.4901969099999,112,10800,0,10791.338196111112,1264.4901969099999
P3_MAIN_MEAN_ROLLOUT_061218,981.51375000000007,0,0,2025-08-24,-0,2025-08-24T18:00:00,0,0,981.51375000000007,11.04913333333343,970.46461666666664,0,5827.375,2025-08-24T18:50:00,2025-08-24T18:40:00,1.2881,4.5872999999999999,0,1264.2878613750001,113,10800,0,10800,1264.2878613750001
P3_MAIN_MEAN_ROLLOUT_061218,112.42499999999984,0,0,2025-08-24,815.21666666666692,2025-08-24T18:00:00,0,0,112.42499999999984,-0,112.42499999999984,0,5565.8500000000004,2025-08-24T19:00:00,2025-08-24T18:50:00,1.3466,0,0,151.3915049999998,114,9894.2037037037044,0,10800,151.3915049999998
