slot_id,source_sheet,source_column,source_cell,raw_time_value,raw_time_type,raw_time_number_format,time_marker_normalized
134,光伏发电实际功率,EE,EE1,0.93055555555555503,excel_numeric_time_serial,h:mm,22:20
135,光伏发电实际功率,EF,EF1,0.937499999999999,excel_numeric_time_serial,h:mm,22:30
136,光伏发电实际功率,EG,EG1,0.94444444444444398,excel_numeric_time_serial,h:mm,22:40
137,光伏发电实际功率,EH,EH1,0.95138888888888795,excel_numeric_time_serial,h:mm,22:50
138,光伏发电实际功率,EI,EI1,0.95833333333333304,excel_numeric_time_serial,h:mm,23:00
139,光伏发电实际功率,EJ,EJ1,0.96527777777777701,excel_numeric_time_serial,h:mm,23:10
140,光伏发电实际功率,EK,EK1,0.97222222222222199,excel_numeric_time_serial,h:mm,23:20
141,光伏发电实际功率,EL,EL1,0.97916666666666596,excel_numeric_time_serial,h:mm,23:30
142,光伏发电实际功率,EM,EM1,0.98611111111111105,excel_numeric_time_serial,h:mm,23:40
143,光伏发电实际功率,EN,EN1,0.99305555555555558,excel_numeric_time_serial,h:mm,23:50
144,光伏发电实际功率,EO,EO1,0:00+1,shared_string_text,h:mm,0:00+1
